,ship-service-level,Category,Amount
695,Expedited,Blazzer,744.0
696,Expedited,Shirt,399.0
697,Standard,T-shirt,1099.0
698,Expedited,Blazzer,744.0
699,Expedited,Shirt,329.0
700,Standard,Shirt,362.0
701,Standard,Shirt,342.0
702,Standard,Shirt,363.0
703,Expedited,Shirt,459.0
704,Expedited,T-shirt,888.0
705,Expedited,Shirt,376.0
706,Expedited,T-shirt,599.0
707,Expedited,T-shirt,916.0
708,Expedited,Shirt,329.0
709,Expedited,Shirt,
710,Expedited,T-shirt,626.0
711,Expedited,Blazzer,725.0
712,Expedited,Shirt,
713,Expedited,T-shirt,1112.0
714,Expedited,T-shirt,
715,Standard,Shirt,329.0
716,Expedited,Trousers,487.0
717,Expedited,T-shirt,801.0
718,Expedited,Shirt,352.0
719,Expedited,Shirt,442.0
720,Standard,Shirt,280.95
721,Expedited,Shirt,283.0
722,Expedited,T-shirt,654.0
723,Expedited,Shirt,399.0
724,Expedited,Wallet,419.0
725,Expedited,T-shirt,654.0
726,Expedited,Blazzer,744.0
727,Standard,Shirt,399.0
728,Expedited,Shirt,452.0
729,Expedited,Shirt,499.0
730,Standard,Wallet,0.0
731,Standard,Shirt,471.0
732,Standard,Shirt,0.0
733,Expedited,Shirt,431.0
734,Expedited,Shirt,511.0
735,Expedited,T-shirt,1463.0
736,Expedited,Shirt,517.0
737,Expedited,Shirt,399.0
738,Expedited,Shirt,
739,Standard,Shirt,399.0
740,Expedited,T-shirt,788.0
741,Standard,Trousers,493.33
742,Expedited,T-shirt,597.0
743,Standard,T-shirt,666.0
744,Expedited,T-shirt,1112.0
745,Expedited,T-shirt,696.0
746,Expedited,T-shirt,499.0
747,Expedited,Shirt,414.0
748,Expedited,T-shirt,1099.0
749,Expedited,T-shirt,
750,Expedited,T-shirt,653.0
751,Expedited,Shirt,352.0
752,Expedited,Blazzer,744.0
753,Expedited,Shirt,399.0
754,Expedited,T-shirt,1438.0
755,Standard,T-shirt,1173.0
756,Standard,Shirt,459.0
757,Expedited,T-shirt,922.0
758,Expedited,T-shirt,653.0
759,Expedited,Shirt,363.0
760,Expedited,Shirt,499.0
761,Expedited,Shirt,486.0
762,Standard,Shirt,692.0
763,Expedited,Shirt,295.0
764,Standard,Shirt,363.0
765,Expedited,Shirt,399.0
766,Expedited,T-shirt,950.0
767,Expedited,Shirt,399.0
768,Expedited,Blazzer,625.0
769,Expedited,T-shirt,1115.0
770,Standard,Shirt,666.0
771,Expedited,T-shirt,
772,Standard,T-shirt,696.0
773,Expedited,Trousers,519.0
774,Standard,T-shirt,1199.0
775,Expedited,T-shirt,563.0
776,Expedited,Shirt,399.0
777,Expedited,Shirt,487.0
778,Standard,Shirt,568.0
779,Expedited,Shirt,399.0
780,Expedited,Shirt,291.0
781,Expedited,Blazzer,744.0
782,Expedited,T-shirt,696.0
783,Expedited,Trousers,463.0
784,Standard,Trousers,469.52
785,Expedited,Trousers,339.0
786,Standard,T-shirt,680.0
787,Expedited,T-shirt,759.0
788,Expedited,T-shirt,626.0
789,Standard,Shirt,399.0
790,Expedited,Trousers,599.0
791,Expedited,Shirt,399.0
792,Expedited,T-shirt,599.0
793,Expedited,Shirt,291.0
794,Expedited,Shirt,276.0
795,Expedited,T-shirt,626.0
796,Expedited,Shirt,283.0
797,Standard,Blazzer,725.0
798,Standard,Shirt,295.0
799,Expedited,Shirt,518.0
800,Expedited,Shirt,399.0
801,Expedited,T-shirt,852.0
802,Expedited,T-shirt,568.0
803,Expedited,Blazzer,771.0
804,Expedited,T-shirt,1669.0
805,Expedited,Trousers,540.0
806,Expedited,T-shirt,1112.0
807,Expedited,Shirt,518.0
808,Expedited,T-shirt,1115.0
809,Expedited,T-shirt,1112.0
810,Expedited,Shirt,399.0
811,Expedited,Shirt,476.0
812,Standard,Shirt,499.0
813,Standard,Trousers,518.0
814,Expedited,Shirt,486.0
815,Expedited,Shirt,399.0
816,Expedited,T-shirt,1260.0
817,Expedited,Trousers,399.0
818,Expedited,T-shirt,852.0
819,Standard,Shirt,
820,Expedited,Shirt,487.0
821,Expedited,T-shirt,
822,Standard,Blazzer,413.0
823,Expedited,T-shirt,788.0
824,Standard,T-shirt,1186.0
825,Expedited,Trousers,396.0
826,Standard,Shirt,659.05
827,Expedited,T-shirt,653.0
828,Standard,Shirt,0.0
829,Expedited,Shirt,458.0
830,Expedited,Shirt,487.0
831,Expedited,T-shirt,597.0
832,Expedited,T-shirt,761.0
833,Expedited,T-shirt,835.0
834,Standard,Trousers,518.0
835,Expedited,Shirt,
836,Expedited,Blazzer,721.0
837,Expedited,Shirt,458.0
838,Expedited,T-shirt,666.0
839,Expedited,Shirt,399.0
840,Standard,T-shirt,1099.0
841,Expedited,Shirt,353.0
842,Expedited,Shirt,399.0
843,Standard,Shirt,534.0
844,Standard,T-shirt,981.25
845,Standard,Shirt,0.0
846,Expedited,T-shirt,657.0
847,Expedited,T-shirt,626.0
848,Standard,T-shirt,981.25
849,Expedited,Blazzer,899.0
850,Expedited,T-shirt,
851,Expedited,T-shirt,597.0
852,Expedited,T-shirt,1099.0
853,Expedited,T-shirt,788.0
854,Expedited,Shirt,459.0
855,Expedited,T-shirt,1186.0
856,Expedited,T-shirt,626.0
857,Expedited,Blazzer,
858,Expedited,Shirt,
859,Expedited,Shirt,329.0
